Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
3855;85;ch:1:sloid:3855;8503855;4;Horgen, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2687592.08001;1235161.81387;409.1;47.26155354290147, 8.595981674712805
90708;85;ch:1:sloid:90708;8590708;9;Langnau am Albis, Langmoos;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Langnau am Albis;136;Langnau am Albis;ch:1:sboid:100606;;2682902.32636;1237480.93536;548.1;47.28301636105772, 8.534452096904536
81572;85;ch:1:sloid:81572;8581572;0;Wädenswil, Rötiboden;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Wädenswil;293;Wädenswil;ch:1:sboid:100606;;2692805.25195;1231398.27063;477.5;47.22699399267467, 8.664075880881548
90501;85;ch:1:sloid:90501;8590501;8;Au ZH, Strandbad;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Wädenswil;293;Au ZH;ch:1:sboid:100606;;2692395.56225;1232860.63313;408.5;47.24020321026371, 8.658967291135069
79495;85;ch:1:sloid:79495;8579495;8;Wettswil a.A., Rehweid;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Wettswil am Albis;14;Wettswil;ch:1:sboid:100602;;2677975.0;1244230.0;576.0;47.34431548341025, 8.470502053793778
3069;85;ch:1:sloid:3069;8503069;2;Zürich Rehalp;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;ZUER;*;;46;FB;Forchbahn;CH;;Zug;TRAIN;TRAIN;TRAIN;ZH;Zürich;261;Zürich;ch:1:sboid:100027;Fpl-Daten auf VBZ-Hst;2686479.65604;1245095.65198;522.9;47.35103994802139, 8.583199690737413
73554;85;ch:1:sloid:73554;8573554;8;Horgen Oberdorf, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2687091.67791;1234904.26896;483.2;47.25930348336176, 8.58932091255959
90655;85;ch:1:sloid:90655;8590655;2;Horgen, Panorama;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2686901.20864;1234799.21303;521.5;47.25838374730861, 8.586784399823445
90650;85;ch:1:sloid:90650;8590650;3;Horgen, Zentrum Tödi;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2686736.56189;1235170.29362;491.3;47.26174274211445, 8.584680961891076
79442;85;ch:1:sloid:79442;8579442;0;Wettswil a.A., Oberhusen;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Wettswil am Albis;14;Wettswil;ch:1:sboid:100602;;2678540.0;1243500.0;590.0;47.337683125813584, 8.477850147078904
