Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
76072;85;ch:1:sloid:76072;8576072;8;Tann, Blatt;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Dürnten;113;Tann;ch:1:sboid:100637;;2707212.0;1236820.0;515.0;47.27357137042613, 8.855564174334363
76089;85;ch:1:sloid:76089;8576089;2;Männedorf, Boldernstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Männedorf;155;Männedorf;ch:1:sboid:100637;;2695438.0;1234966.0;419.0;47.2587050577611, 8.69959115258971
76118;85;ch:1:sloid:76118;8576118;9;Samstagern, Frohberg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Richterswil;138;Samstagern;ch:1:sboid:100606;;2694580.0;1228342.999;590.0;47.19926465508877, 8.686864910363559
76116;85;ch:1:sloid:76116;8576116;3;Richterswil, Untere Schwanden;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Richterswil;138;Richterswil;ch:1:sboid:100606;;2694579.0;1229096.999;417.0;47.20604593319768, 8.687010022661195
76117;85;ch:1:sloid:76117;8576117;1;Richterswil, Obermatt;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Richterswil;138;Richterswil;ch:1:sboid:100606;;2694504.0;1228835.999;408.0;47.203709346288875, 8.685965477906713
94491;85;ch:1:sloid:94491;8594491;8;Wald ZH, Nordeck;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Wald (ZH);120;Wald ZH;ch:1:sboid:100637;;2711738.0;1236371.0;618.0;47.26878286906644, 8.915255252603338
76258;85;ch:1:sloid:76258;8576258;3;Buchs ZH, Linde;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Buchs (ZH);83;Buchs ZH;ch:1:sboid:100575;;2675527.0;1256890.0;424.0;47.45845750528809, 8.440248348601495
76259;85;ch:1:sloid:76259;8576259;1;Buchs ZH, Post;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Buchs (ZH);83;Buchs ZH;ch:1:sboid:100575;;2675329.0;1256688.0;424.0;47.456663559047776, 8.437588695879537
76265;85;ch:1:sloid:76265;8576265;8;Regensdorf, Gemeindehaus;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Regensdorf;96;Regensdorf;ch:1:sboid:100575;;2677778.978;1254223.912;442.8;47.43421828020335, 8.469645763132192
76275;85;ch:1:sloid:76275;8576275;7;Regensdorf, Holenbach;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Regensdorf;96;Regensdorf;ch:1:sboid:100575;;2677127.0;1253882.0;600.0;47.43122006900236, 8.460945223103549
76272;85;ch:1:sloid:76272;8576272;4;Dällikon, Dorf;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Dällikon;84;Dällikon;ch:1:sboid:100575;;2675482.0;1254808.0;430.0;47.43973859168583, 8.439299579530143
76276;85;ch:1:sloid:76276;8576276;5;Dällikon, Industrie;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Dällikon;84;Dällikon;ch:1:sboid:100575;;2675436.0;1255363.0;440.0;47.444735165897406, 8.438783582324941
76297;85;ch:1:sloid:76297;8576297;1;Seuzach, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Seuzach;227;Seuzach;ch:1:sboid:100602;;2697900.0;1265800.0;455.0;47.535633340265285, 8.738864712359534
76743;85;ch:1:sloid:76743;8576743;4;Wettswil a.A., Beerimoos;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Wettswil am Albis;14;Wettswil;ch:1:sboid:100602;;2678720.0;1242600.0;562.0;47.32956744583801, 8.480073559751604
76746;85;ch:1:sloid:76746;8576746;7;Winterthur, Waser;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;882;SBW;Stadtbus Winterthur;CH;;Bus;BUS;BUS;BUS;ZH;Winterthur;230;Winterthur;ch:1:sboid:100681;;2699291.0;1260350.0;439.0;47.48641497679869, 8.756120244607777
95075;85;ch:1:sloid:95075;8595075;8;Dietlikon, In Lampitzäckern;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Dietlikon;54;Dietlikon;ch:1:sboid:100575;;2688768.0;1252489.0;444.0;47.4172257657915, 8.61494868107272
95074;85;ch:1:sloid:95074;8595074;1;Dietlikon, Hinentalstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Dietlikon;54;Dietlikon;ch:1:sboid:100575;;2688245.0;1253406.0;472.0;47.42554276805531, 8.608200199199718
95143;85;ch:1:sloid:95143;8595143;4;Otelfingen, Landstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Otelfingen;94;Otelfingen;ch:1:sboid:100575;;2671490.0;1256936.0;430.0;47.4593222102718, 8.386723146905576
95329;85;ch:1:sloid:95329;8595329;9;Hombrechtikon, Hofacherstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Hombrechtikon;153;Hombrechtikon;ch:1:sboid:100637;;2701193.0;1233666.0;459.0;47.246156891853374, 8.775321554630823
95331;85;ch:1:sloid:95331;8595331;5;Wetzikon ZH, Robenhausen;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Wetzikon (ZH);121;Wetzikon ZH;ch:1:sboid:100637;;2701790.0;1242928.0;538.0;47.329359773349445, 8.785305682294034
95395;85;ch:1:sloid:95395;8595395;0;Aathal, Bahnhof;Validiert;Bedarfshaltestelle;Arrêt sur demande;ON_REQUEST;Fermata facoltativa;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Seegräben;119;Aathal-Seegräben;ch:1:sboid:100637;Bahnersatz;2700355.0;1243598.0;505.0;47.33560509422262, 8.766474312802732
95412;85;ch:1:sloid:95412;8595412;3;Horgen, Bergwerk;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2688836.0;1234470.0;420.0;47.25516549378227, 8.612278449691296
95262;85;ch:1:sloid:95262;8595262;2;Hittnau, Hofhalden;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Hittnau;173;Hittnau;ch:1:sboid:100637;;2704296.0;1244940.0;673.0;47.34706199421046, 8.818921490096212
95706;85;ch:1:sloid:95706;8595706;8;Effretikon, Weiherstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Illnau-Effretikon;296;Effretikon;ch:1:sboid:100575;;2694394.0;1254392.0;508.0;47.43355679000978, 8.6898924232543
95710;85;ch:1:sloid:95710;8595710;0;Rümlang, Ifangstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Rümlang;97;Rümlang;ch:1:sboid:100575;;2682755.972;1255852.867;432.5;47.4482608593666, 8.5359133226238
95511;85;ch:1:sloid:95511;8595511;2;Dietikon, Heimstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;849;VBZ;Verkehrsbetriebe Zürich;CH;;Bus;BUS;BUS;BUS;ZH;Dietikon;243;Dietikon;ch:1:sboid:100648;;2673003.0;1251308.0;387.0;47.408541196902206, 8.405866675950655
95510;85;ch:1:sloid:95510;8595510;4;Wädenswil, Campus Rothus;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Wädenswil;293;Wädenswil;ch:1:sboid:100606;;2694001.0;1231176.999;409.0;47.2248349375828, 8.679816319763452
95914;85;ch:1:sloid:95914;8595914;8;Schottikon, Bahnhof;Validiert;Bedarfshaltestelle;Arrêt sur demande;ON_REQUEST;Fermata facoltativa;;;*;;7231;SBB-EV;SBB Infrastruktur AG Bahnersatz;CH;;Bus;BUS;BUS;BUS;ZH;Elsau;219;Elsau;ch:1:sboid:1100021;Bahnersatz;2703492.0;1261922.0;486.0;47.49990338149747, 8.812217482790011
95714;85;ch:1:sloid:95714;8595714;2;Regensdorf, Allmend;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Regensdorf;96;Regensdorf;ch:1:sboid:100575;;2676778.0;1255809.0;430.0;47.448590983874944, 8.456651063688831
77309;85;ch:1:sloid:77309;8577309;3;Wald ZH, Binzholz;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Wald (ZH);120;Wald ZH;ch:1:sboid:100637;;2711317.811;1237823.782;694.0;47.28191862902069, 8.910063743943564
73556;85;ch:1:sloid:73556;8573556;3;Horgen, Ebnetstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2687674.0;1234118.0;514.4;47.252155047875725, 8.59686036831952
73557;85;ch:1:sloid:73557;8573557;1;Horgen, Fischenrüti;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2687843.0;1233733.0;539.2;47.24867005753856, 8.599017440781243
77340;85;ch:1:sloid:77340;8577340;8;Wald ZH, Ober-Feld;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Wald (ZH);120;Wald ZH;ch:1:sboid:100637;;2710700.0;1237040.0;635.0;47.27497404790854, 8.901706029769358
77344;85;ch:1:sloid:77344;8577344;0;Wald ZH, Etzelstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;838;VZO;Verkehrsbetriebe Zürichsee und Oberland;CH;;Bus;BUS;BUS;BUS;ZH;Wald (ZH);120;Wald ZH;ch:1:sboid:100637;;2710870.0;1237275.0;710.0;47.27705885449002, 8.904010335188469
11683;85;ch:1:sloid:11683;8511683;0;Elgg, Schwimmbad;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;Elgg, Schwimmbad;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Elgg;294;Elgg;ch:1:sboid:100602;;2708195.51679;1260090.80278;550.6;47.482679103499216, 8.874186437400615
77912;85;ch:1:sloid:77912;8577912;4;Horgen, untere Mühle;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2687756.0;1234901.0;409.0;47.25918612997163, 8.598096318542572
73499;85;ch:1:sloid:73499;8573499;6;Pfäffikon ZH, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Pfäffikon;177;Pfäffikon ZH;ch:1:sboid:100602;;2701746.68399;1247076.32578;548.0;47.36667235241113, 8.78567487863761
79189;85;ch:1:sloid:79189;8579189;7;Horgen, Scheller;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2686877.71629;1236023.7635;408.7;47.269399930639715, 8.586710754768562
79186;85;ch:1:sloid:79186;8579186;3;Oberrieden, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Oberrieden;137;Oberrieden;ch:1:sboid:100606;;2686300.92592;1237105.20864;424.1;47.27920162891317, 8.579297310014887
88986;85;ch:1:sloid:88986;8588986;5;Horgen, Reithy;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2688538.0082;1233921.93122;496.2;47.25027641943177, 8.608234215594289
3899;85;ch:1:sloid:3899;8503899;2;Horgen, Waldegg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2688560.95757;1233355.99016;523.4;47.2451835053316, 8.60842589130415
81536;85;ch:1:sloid:81536;8581536;5;Dägerlen, Oberwil;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Dägerlen;214;Oberwil (Dägerlen);ch:1:sboid:100602;;2696199.75537;1269835.50669;478.0;47.57217392549846, 8.717160531420333
81537;85;ch:1:sloid:81537;8581537;3;Dägerlen, Berg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Dägerlen;214;Berg (Dägerlen);ch:1:sboid:100602;;2697416.05785;1268970.13325;467.7;47.5642127286191, 8.733133086119446
