Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
88614;85;ch:1:sloid:88614;8588614;3;Spiez, Kapellenstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;BE;Spiez;768;Spiez;ch:1:sboid:100602;;2618840.0;1170407.0;619.8;46.68461928363289, 7.684899786299529
88607;85;ch:1:sloid:88607;8588607;7;Faulensee, Oberdorf;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;BE;Spiez;768;Faulensee;ch:1:sboid:100602;;2619869.0;1169619.0;583.0;46.67750111273664, 7.6983160342179
88606;85;ch:1:sloid:88606;8588606;9;Faulensee, Dorf;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;FADO;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;BE;Spiez;768;Faulensee;ch:1:sboid:100602;;2620109.0;1169389.0;569.0;46.675424990987786, 7.701442662102951
88662;85;ch:1:sloid:88662;8588662;2;Crans VD, La Versoix;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;738;TPN;Transports Publics de la Région Nyonnaise;CH;;Bus;BUS;BUS;BUS;VD;Crans (VD);5713;Crans VD;ch:1:sboid:100540;;2505254.0;1134953.0;422.0;46.35925212756032, 6.207566884019947
88666;85;ch:1:sloid:88666;8588666;3;Founex, est;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;738;TPN;Transports Publics de la Région Nyonnaise;CH;;Bus;BUS;BUS;BUS;VD;Founex;5717;Founex;ch:1:sboid:100540;;2504240.0;1132246.0;396.0;46.33475991636679, 6.194952064423382
88670;85;ch:1:sloid:88670;8588670;5;Prangins, La Banderolle;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;738;TPN;Transports Publics de la Région Nyonnaise;CH;;Bus;BUS;BUS;BUS;VD;Prangins;5725;Prangins;ch:1:sboid:100540;;2508391.83915;1138081.6513;378.9;46.38782928468708, 6.247713885948735
88659;85;ch:1:sloid:88659;8588659;8;Nyon, route de Genève;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;738;TPN;Transports Publics de la Région Nyonnaise;CH;;Bus;BUS;BUS;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507026.0;1136288.0;393.0;46.37150800852563, 6.2303200532597325
88668;85;ch:1:sloid:88668;8588668;9;Founex, ouest;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;738;TPN;Transports Publics de la Région Nyonnaise;CH;;Bus;BUS;BUS;BUS;VD;Founex;5717;Founex;ch:1:sboid:100540;;2503977.11018;1131729.48166;399.7;46.33007650298271, 6.191645103004551
88636;85;ch:1:sloid:88636;8588636;6;Ranflüh, Ranflühschachen;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;871;BLAG;Busland AG;CH;;Bus;BUS;BUS;BUS;BE;Lützelflüh;955;Ranflüh;ch:1:sboid:100670;;2622056.0;1204870.0;608.0;46.994524620593516, 7.728597209908529
88643;85;ch:1:sloid:88643;8588643;2;Zollbrück, Zentrum;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;ZOZE;*;;871;BLAG;Busland AG;CH;;Bus;BUS;BUS;BUS;BE;Lauperswil;903;Zollbrück;ch:1:sboid:100670;;2623689.0;1202334.0;635.0;46.97165701650101, 7.749933725797973
88930;85;ch:1:sloid:88930;8588930;3;Langnau i.E., Fansrütistrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;LNFR;*;;871;BLAG;Busland AG;CH;;Bus;BUS;BUS;BUS;BE;Langnau im Emmental;902;Langnau im Emmental;ch:1:sboid:100670;;2626875.0;1199123.0;724.0;46.94265274823559, 7.791611572026439
88955;85;ch:1:sloid:88955;8588955;0;Haag (Rheintal), Rheinstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;138;BOS;Bus Ostschweiz;CH;;Bus;BUS;BUS;BUS;SG;Sennwald;3274;Haag (Rheintal);ch:1:sboid:100111;;2755500.0;1230799.999;440.0;47.209832644336444, 9.491420702895383
88984;85;ch:1:sloid:88984;8588984;0;Horgen, Gehren;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Horgen;295;Horgen;ch:1:sboid:100606;;2688035.0;1234091.0;409.0;47.251864196804696, 8.601623440268574
